,geometry,EV_stations_counts,EV_stations_aperage,EV_stations_voltage,EV_stations_capacity,EV_stations_geomery,population,landuse,nodes,edges,density,parking_count,parking_types,restaurant_count,library_count,Community_centre_count,school_count,university_count,park_count,townhall_count,government_count,civic_count,commercial_count,retail_count,place_of_worship_count
2150,"POLYGON ((13.446394352133769 52.643827914424136, 13.446552492579979 52.639365465689565, 13.439200596818747 52.63926883260638, 13.439041708690986 52.643731265833075, 13.446394352133769 52.643827914424136))",0,[],[],[],[],10.022101410748053,Other,0,0,0.0,0,{},0,0,0,0,0,0,0,0,0,0,0,0
2151,"POLYGON ((13.446552492579979 52.639365465689565, 13.446710591443098 52.63490301324041, 13.439359443167039 52.63480639566195, 13.439200596818747 52.63926883260638, 13.446552492579979 52.639365465689565))",0,[],[],[],[],10.022101410748055,Other,2,2,1.0,0,{},0,0,0,0,0,0,0,0,0,0,0,0
2152,"POLYGON ((13.446710591443098 52.63490301324041, 13.446868648737716 52.630440557076575, 13.43951824775052 52.6303439549997, 13.439359443167039 52.63480639566195, 13.446710591443098 52.63490301324041))",0,[],[],[],[],10.022101410748055,Other,0,0,0.0,0,{},0,0,0,0,0,0,0,0,0,0,0,0
2153,"POLYGON ((13.446868648737716 52.630440557076575, 13.447026664478422 52.625978097198086, 13.439677010583848 52.62588151061964, 13.43951824775052 52.6303439549997, 13.446868648737716 52.630440557076575))",0,[],[],[],[],10.022101410748055,Other,0,0,0.0,0,{},0,0,0,0,0,0,0,0,0,0,0,0
2154,"POLYGON ((13.447026664478422 52.625978097198086, 13.447184638679788 52.621515633604886, 13.439835731681667 52.62141906252174, 13.439677010583848 52.62588151061964, 13.447026664478422 52.625978097198086))",0,[],[],[],[],0.0,Other,0,0,0.0,0,{},0,0,0,0,0,0,0,0,0,0,0,0
2155,"POLYGON ((13.447184638679788 52.621515633604886, 13.44734257135639 52.61705316629698, 13.439994411058617 52.61695661070599, 13.439835731681667 52.62141906252174, 13.447184638679788 52.621515633604886))",0,[],[],[],[],0.0,Other,0,0,0.0,0,{},0,0,0,0,0,0,0,0,0,0,0,0
2156,"POLYGON ((13.44734257135639 52.61705316629698, 13.447500462522791 52.61259069527429, 13.440153048729334 52.61249415517234, 13.439994411058617 52.61695661070599, 13.44734257135639 52.61705316629698))",0,[],[],[],[],10.022101410748055,Other,5,6,0.3,1,{'surface': 1},0,0,0,0,0,0,0,0,0,0,0,0
2157,"POLYGON ((13.447500462522791 52.61259069527429, 13.447658312193548 52.60812822053687, 13.440311644708439 52.60803169592079, 13.440153048729334 52.61249415517234, 13.447500462522791 52.61259069527429))",0,[],[],[],[],10.022101410748053,Other,9,16,0.2222222222222222,0,{},0,0,0,0,0,0,0,0,0,0,0,0
2158,"POLYGON ((13.447658312193548 52.60812822053687, 13.447816120383209 52.603665742084615, 13.440470199010553 52.60356923295129, 13.440311644708439 52.60803169592079, 13.447658312193548 52.60812822053687))",0,[],[],[],[],10.022101410748055,Other,8,14,0.25,0,{},0,0,0,0,0,0,0,0,0,0,0,0
2159,"POLYGON ((13.447816120383209 52.603665742084615, 13.44797388710632 52.59920325991754, 13.44062871165029 52.59910676626384, 13.440470199010553 52.60356923295129, 13.447816120383209 52.603665742084615))",0,[],[],[],[],10.022101410748053,Other,5,10,0.5,0,{},0,0,0,0,0,0,0,0,0,0,0,0
